code;name
B16;Hepatite Aguda B
B17;Outras Hepatites Virais Agudas
B18;Hepatite Viral Cr«Ônica
B19;Hepatite Viral N«úo Especificada
B20;Doen«ıa Pelo V«rus da Imunodefici«¶ncia Humana (HIV), Resultando em Doen«ıas Infecciosas e Parasit«≠rias
B21;Doen«ıa Pelo V«rus da Imunodefici«¶ncia Humana (HIV), Resultando em Neoplasias Malignas
B22;Doen«ıa Pelo V«rus da Imunodefici«¶ncia Humana (HIV) Resultando em Outras Doen«ıas Especificadas
B23;Doen«ıa Pelo V«rus da Imunodefici«¶ncia Humana (HIV) Resultando em Outras Doen«ıas
B24;Doen«ıa Pelo V«rus da Imunodefici«¶ncia Humana (HIV) N«úo Especificada
B25;Doen«ıa Por Citomegalov«rus
B26;Caxumba (Parotidite Epid«¶mica)
B27;Mononucleose Infecciosa
B30;Conjuntivite Viral
B33;Outras Doen«ıas Por V«rus N«úo Classificada em Outra Parte
B34;Doen«ıas Por V«rus, de Localiza«ı«úo N«úo Especificada
B35;Dermatofitose
B36;Outras Micoses Superficiais
B37;Candid«ase
B38;Coccidioidomicose
B39;Histoplasmose
B40;Blastomicose
B41;Paracoccidioidomicose
B42;Esporotricose
B43;Cromomicose e Abscesso Feomic«¸tico
B44;Aspergilose
B45;Criptococose
B46;Zigomicose
B47;Micetoma
B48;Outras Micoses, N«úo Classificadas em Outra Parte
B49;Micose N«úo Especificada
B50;Mal«≠ria Por Plasmodium Falciparum
B51;Mal«≠ria Por Plasmodium Vivax
B52;Mal«≠ria Por Plasmodium Malariae
B53;Outras Formas de Mal«≠ria Confirmadas Por Exames Parasitol«¸gicos
B54;Mal«≠ria N«úo Especificada
B55;Leishmaniose
B56;Tripanossom«ase Africana
B57;Doen«ıa de Chagas
B58;Toxoplasmose
B59;Pneumocistose
B60;Outras Doen«ıas Devidas a Protozo«≠rios, N«úo Classificadas em Outra Parte
B64;Doen«ıa N«úo Especificada Devida a Protozo«≠rios
B65;Esquistossomose (bilharziose) (Schistosom«ase)
B66;Outras Infesta«ı«Êes Por Tremat«¸deos
B67;Equinococose
B68;Infesta«ı«úo Por Taenia
B69;Cisticercose
B70;Difilobotr«ase e Esparganose
B71;Outras Infesta«ı«Êes Por Cest«¸ides
B72;Dracont«ase
B73;Oncocercose
B74;Filariose
B75;Triquinose
B76;Ancilostom«ase
B77;Ascarid«ase
B78;Estrongiloid«ase
B79;Tricur«ase
B80;Oxiur«ase
B81;Outras Helmint«ases Intestinais, N«úo Classificadas em Outra Parte
B82;Parasitose Intestinal N«úo Especificada
B83;Outras Helmint«ases
B85;Pediculose e Ftir«ase
B86;Escabiose (sarna)
B87;Mi«ase
B88;Outras Infesta«ı«Êes
B89;Doen«ıa Parasit«≠ria N«úo Especificada
B90;Seq«¨elas de Tuberculose
B91;Seq«¨elas de Poliomielite
B92;Seq«¨elas de Hansen«ase (lepra)
B94;Seq«¨elas de Outras Doen«ıas Infecciosas e Parasit«≠rias e Das N«úo Especificadas
B95;Estreptococos e Estafilococos Como Causa de Doen«ıas Classificadas em Outros Cap«tulos
B96;Outros Agentes Bacterianos, Como Causa de Doen«ıas Classificadas em Outros Cap«tulos
B97;V«rus Como Causa de Doen«ıas Classificadas em Outros Cap«tulos
B99;Doen«ıas Infecciosas, Outras e as N«úo Especificadas
C00;Neoplasia Maligna do L«≠bio
C01;Neoplasia Maligna da Base da L«ngua
C02;Neoplasia Maligna de Outras Partes e de Partes N«úo Especificadas da L«ngua
C03;Neoplasia Maligna da Gengiva
C04;Neoplasia Maligna do Assoalho da Boca
C05;Neoplasia Maligna do Palato
C06;Neoplasia Maligna de Outras Partes e de Partes N«úo Especificadas da Boca
C07;Neoplasia Maligna da Gl«Ωndula Par«¸tida
C08;Neoplasia Maligna de Outras Gl«Ωndulas Salivares Maiores e as N«úo Especificadas
C09;Neoplasia Maligna da Am«gdala
C10;Neoplasia Maligna da Orofaringe
C11;Neoplasia Maligna da Nasofaringe
C12;Neoplasia Maligna do Seio Piriforme
C13;Neoplasia Maligna da Hipofaringe
C14;Neoplasia Maligna de Outras Localiza«ı«Êes e de Localiza«ı«Êes Mal Definida, do L«≠bio, Cavidade Oral e Faringe
C15;Neoplasia Maligna do Es«Ôfago
C16;Neoplasia Maligna do Est«Ômago
C17;Neoplasia Maligna do Intestino Delgado
C18;Neoplasia Maligna do C«¸lon
C19;Neoplasia Maligna da Jun«ı«úo Retossigm«¸ide
C20;Neoplasia Maligna do Reto
C21;Neoplasia Maligna do «?nus e do Canal Anal
C22;Neoplasia Maligna do F«gado e Das Vias Biliares Intra-hep«≠ticas
C23;Neoplasia Maligna da Ves«cula Biliar
C24;Neoplasia Maligna de Outras Partes, e de Partes N«úo Especificadas Das Vias Biliares
C25;Neoplasia Maligna do P«Ωncreas
C26;Neoplasia Maligna de Outros «?rg«úos Digestivos e de Localiza«ı«Êes Mal Definidas no Aparelho Digestivo
C30;Neoplasia Maligna da Cavidade Nasal e do Ouvido M«∏dio
C31;Neoplasia Maligna Dos Seios da Face
C32;Neoplasia Maligna da Laringe
C33;Neoplasia Maligna da Traqu«∏ia
C34;Neoplasia Maligna Dos Br«Ônquios e Dos Pulm«Êes
C37;Neoplasia Maligna do Timo
C38;Neoplasia Maligna do Cora«ı«úo, Mediastino e Pleura
C39;Neoplasia Maligna de Outras Localiza«ı«Êes e de Localiza«ı«Êes Mal Definidas do Aparelho Respirat«¸rio e Dos «?rg«úos Intrator«≠cicos
C40;Neoplasia Maligna Dos Ossos e Cartilagens Articulares Dos Membros
C41;Neoplasia Maligna Dos Ossos e Das Cartilagens Articulares de Outras Localiza«ı«Êes e de Localiza«ı«Êes N«úo Especificadas
C43;Melanoma Maligno da Pele
C44;Outras Neoplasias Malignas da Pele
C45;Mesotelioma
C46;Sarcoma de Kaposi
C47;Neoplasia Maligna Dos Nervos Perif«∏ricos e do Sistema Nervoso Aut«Ônomo
C48;Neoplasia Maligna Dos Tecidos Moles do Retroperit«Ônio e do Perit«Ônio
C49;Neoplasia Maligna do Tecido Conjuntivo e de Outros Tecidos Moles
C50;Neoplasia Maligna da Mama
C51;Neoplasia Maligna da Vulva
C52;Neoplasia Maligna da Vagina
C53;Neoplasia Maligna do Colo do «?tero
C54;Neoplasia Maligna do Corpo do «?tero
C55;Neoplasia Maligna do «?tero, Por«ı«úo N«úo Especificada
C56;Neoplasia Maligna do Ov«≠rio
C57;Neoplasia Maligna de Outros «?rg«úos Genitais Femininos e Dos N«úo Especificados
C58;Neoplasia Maligna da Placenta
C60;Neoplasia Maligna do P«¶nis
C61;Neoplasia Maligna da Pr«¸stata
C62;Neoplasia Maligna Dos Test«culos
C63;Neoplasia Maligna de Outros «?rg«úos Genitais Masculinos e Dos N«úo Especificados
C64;Neoplasia Maligna do Rim, Exceto Pelve Renal
C65;Neoplasia Maligna da Pelve Renal
C66;Neoplasia Maligna Dos Ureteres
C67;Neoplasia Maligna da Bexiga
C68;Neoplasia Maligna de Outros «?rg«úos Urin«≠rios e Dos N«úo Especificados
C69;Neoplasia Maligna do Olho e Anexos
C70;Neoplasia Maligna Das Meninges
C71;Neoplasia Maligna do Enc«∏falo
C72;Neoplasia Maligna da Medula Espinhal, Dos Nervos Cranianos e de Outras Partes do Sistema Nervoso Central
C73;Neoplasia Maligna da Gl«Ωndula Tire«¸ide
C74;Neoplasia Maligna da Gl«Ωndula Supra-renal (Gl«Ωndula Adrenal)
C75;Neoplasia Maligna de Outras Gl«Ωndulas End«¸crinas e de Estruturas Relacionadas
C76;Neoplasia Maligna de Outras Localiza«ı«Êes e de Localiza«ı«Êes Mal Definidas
C77;Neoplasia Maligna Secund«≠ria e N«úo Especificada Dos G«Ωnglios Linf«≠ticos
C78;Neoplasia Maligna Secund«≠ria Dos «?rg«úos Respirat«¸rios e Digestivos
C79;Neoplasia Maligna Secund«≠ria de Outras Localiza«ı«Êes
C80;Neoplasia Maligna, Sem Especifica«ı«úo de Localiza«ı«úo
C81;Doen«ıa de Hodgkin
C82;Linfoma N«úo-Hodgkin, Folicular (nodular)
C83;Linfoma N«úo-Hodgkin Difuso
C84;Linfomas de C«∏lulas T Cut«Ωneas e Perif«∏ricas
C85;Linfoma N«úo-Hodgkin de Outros Tipos e de Tipo N«úo Especificado
C88;Doen«ıas Imunoproliferativas Malignas
C90;Mieloma M«ßltiplo e Neoplasias Malignas de Plasm«¸citos
C91;Leucemia Linf«¸ide
C92;Leucemia Miel«¸ide
C93;Leucemia Monoc«tica
C94;Outras Leucemias de C«∏lulas de Tipo Especificado
C95;Leucemia de Tipo Celular N«úo Especificado
C96;Outras Neoplasias Malignas e as N«úo Especificadas Dos Tecidos Linf«≠tico, Hematopo«∏tico e Tecidos Correlatos
C97;Neoplasias Malignas de Localiza«ı«Êes M«ßltiplas Independentes (prim«≠rias)
D00;Carcinoma in Situ da Cavidade Oral, do Es«Ôfago e do Est«Ômago
D01;Carcinoma in Situ de Outros «?rg«úos Digestivos
D02;Carcinoma in Situ do Ouvido M«∏dio e do Aparelho Respirat«¸rio
D03;Melanoma in Situ
D04;Carcinoma in Situ da Pele
D05;Carcinoma in Situ da Mama
D06;Carcinoma in Situ do Colo do «?tero (c«∏rvix)
D07;Carcinoma in Situ de Outros «?rg«úos Genitais e Dos N«úo Especificados
D09;Carcinoma in Situ de Outras Localiza«ı«Êes e Das N«úo Especificadas
D10;Neoplasia Benigna da Boca e da Faringe
D11;Neoplasia Benigna de Gl«Ωndulas Salivares Maiores
D12;Neoplasia Benigna do C«¸lon, Reto, Canal Anal e «?nus
D13;Neoplasia Benigna de Outras Partes e de Partes Mal Definidas do Aparelho Digestivo
D14;Neoplasia Benigna do Ouvido M«∏dio e do Aparelho Respirat«¸rio
D15;Neoplasia Benigna de Outros «?rg«úos Intrator«≠cicos e Dos N«úo Especificados
D16;Neoplasia Benigna de Osso e de Cartilagem Articular
D17;Neoplasia Lipomatosa Benigna
D18;Hemangioma e Linfangioma de Qualquer Localiza«ı«úo
D19;Neoplasia Benigna de Tecido Mesotelial
D20;Neoplasia Benigna de Tecido Mole do Retroperit«Ônio e do Perit«Ônio
D21;Outras Neoplasias Benignas do Tecido Conjuntivo e de Outros Tecidos Moles
D22;Nevos Melanoc«ticos
D23;Outras Neoplasias Benignas da Pele
D24;Neoplasia Benigna da Mama
D25;Leiomioma do «?tero
D26;Outras Neoplasias Benignas do «?tero
D27;Neoplasia Benigna do Ov«≠rio
D28;Neoplasia Benigna de Outros «?rg«úos Genitais Femininos e de «?rg«úos N«úo Especificados
D29;Neoplasia Benigna Dos «?rg«úos Genitais Masculinos
D30;Neoplasia Benigna Dos «?rg«úos Urin«≠rios
D31;Neoplasia Benigna do Olho e Anexos
D32;Neoplasia Benigna Das Meninges
D33;Neoplasia Benigna do Enc«∏falo e de Outras Partes do Sistema Nervoso Central
D34;Neoplasia Benigna da Gl«Ωndula Tire«¸ide
D35;Neoplasia Benigna de Outras Gl«Ωndulas End«¸crinas e Das N«úo Especificadas
D36;Neoplasia Benigna de Outras Localiza«ı«Êes e de Localiza«ı«Êes N«úo Especificadas
D37;Neoplasia de Comportamento Incerto ou Desconhecido da Cavidade Oral e Dos «?rg«úos Digestivos
D38;Neoplasia de Comportamento Incerto ou Desconhecido do Ouvido M«∏dio e Dos «?rg«úos Respirat«¸rios e Intrator«≠cicos
D39;Neoplasia de Comportamento Incerto ou Desconhecido Dos «?rg«úos Genitais Femininos
D40;Neoplasia de Comportamento Incerto ou Desconhecido Dos «?rg«úos Genitais Masculinos
D41;Neoplasia de Comportamento Incerto ou Desconhecido Dos «?rg«úos Urin«≠rios
D42;Neoplasia de Comportamento Incerto ou Desconhecido Das Meninges
D43;Neoplasia de Comportamento Incerto ou Desconhecido do Enc«∏falo e do Sistema Nervoso Central
D44;Neoplasia de Comportamento Incerto ou Desconhecido Das Gl«Ωndulas End«¸crinas
D45;Policitemia Vera
D46;S«ndromes Mielodispl«≠sicas
D47;Outras Neoplasias de Comportamento Incerto ou Desconhecido Dos Tecidos Linf«≠tico, Hematopo«∏tico e Tecidos Correlatos
D48;Neoplasia de Comportamento Incerto ou Desconhecido de Outras Localiza«ı«Êes e de Localiza«ı«Êes N«úo Especificadas
D50;Anemia Por Defici«¶ncia de Ferro
D51;Anemia Por Defici«¶ncia de Vitamina B12
D52;Anemia Por Defici«¶ncia de Folato
D53;Outras Anemias Nutricionais
D55;Anemia Devida a Transtornos Enzim«≠ticos
D56;Talassemia
D57;Transtornos Falciformes
D58;Outras Anemias Hemol«ticas Heredit«≠rias
D59;Anemia Hemol«tica Adquirida
D60;Aplasia Pura da S«∏rie Vermelha, Adquirida (eritroblastopenia)
D61;Outras Anemias Apl«≠sticas
D62;Anemia Aguda P«¸s-hemorr«≠gica
D63;Anemia em Doen«ıas Cr«Ônicas Classificadas em Outra Parte
D64;Outras Anemias
D65;Coagula«ı«úo Intravascular Disseminada (s«ndrome de Desfibrina«ı«úo)
D66;Defici«¶ncia Heredit«≠ria do Fator VIII
D67;Defici«¶ncia Heredit«≠ria do Fator IX
D68;Outros Defeitos da Coagula«ı«úo
D69;P«ßrpura e Outras Afec«ı«Êes Hemorr«≠gicas
D70;Agranulocitose
D71;Transtornos Funcionais Dos Neutr«¸filos Polimorfonucleares
D72;Outros Transtornos Dos Gl«¸bulos Brancos
D73;Doen«ıas do Ba«ıo
D74;Metemoglobinemia
D75;Outras Doen«ıas do Sangue e Dos «?rg«úos Hematopo«∏ticos
D76;Algumas Doen«ıas Que Envolvem o Tecido Linforreticular e o Sistema Reticulohistioc«tico
D77;Outros Transtornos do Sangue e Dos «?rg«úos Hematopo«∏ticos em Doen«ıas Classificadas em Outra Parte
D80;Imunodefici«¶ncia Com Predomin«Ωncia de Defeitos de Anticorpos
D81;Defici«¶ncias Imunit«≠rias Combinadas
D82;"Imunodefici«¶ncia Associada Com Outros Defeitos ""major"""
D83;Imunodefici«¶ncia Comum Vari«≠vel
D84;Outras Imunodefici«¶ncias
D86;Sarcoidose
D89;Outros Transtornos Que Comprometem o Mecanismo Imunit«≠rio N«úo Classificados em Outra Parte
E00;S«ndrome de Defici«¶ncia Cong«¶nita de Iodo
E01;Transtornos Tireoidianos e Afec«ı«Êes Associadas, Relacionados «ˇ Defici«¶ncia de Iodo
E02;Hipotireoidismo Subcl«nico Por Defici«¶ncia de Iodo
E03;Outros Hipotireoidismos
E04;Outros B«¸cios N«úo-t«¸xicos
E05;Tireotoxicose (hipertireoidismo)
E06;Tireoidite
E07;Outros Transtornos da Tire«¸ide
E10;Diabetes Mellitus Insulino-dependente
E11;Diabetes Mellitus N«úo-insulino-dependente
E12;Diabetes Mellitus Relacionado Com a Desnutri«ı«úo
E13;Outros Tipos Especificados de Diabetes Mellitus
E14;Diabetes Mellitus N«úo Especificado
E15;Coma Hipoglic«¶mico N«úo-diab«∏tico
E16;Outros Transtornos da Secre«ı«úo Pancre«≠tica Interna
E20;Hipoparatireoidismo
E21;Hiperparatireoidismo e Outros Transtornos da Gl«Ωndula Paratire«¸ide
E22;Hiperfun«ı«úo da Hip«¸fise
E23;Hipofun«ı«úo e Outros Transtornos da Hip«¸fise
E24;S«ndrome de Cushing
E25;Transtornos Adrenogenitais
E26;Hiperaldosteronismo
E27;Outros Transtornos da Gl«Ωndula Supra-renal
E28;Disfun«ı«úo Ovariana
E29;Disfun«ı«úo Testicular
E30;Transtornos da Puberdade N«úo Classificados em Outra Parte
E31;Disfun«ı«úo Poliglandular
E32;Doen«ıas do Timo
E34;Outros Transtornos End«¸crinos
E35;Transtornos Das Gl«Ωndulas End«¸crinas em Doen«ıas Classificadas em Outra Parte
E40;Kwashiorkor
E41;Marasmo Nutricional
E42;Kwashiorkor Marasm«≠tico
E43;Desnutri«ı«úo Prot«∏ico-cal«¸rica Grave N«úo Especificada
E44;Desnutri«ı«úo Prot«∏ico-cal«¸rica de Graus Moderado e Leve
E45;Atraso do Desenvolvimento Devido «ˇ Desnutri«ı«úo Prot«∏ico-cal«¸rica
E46;Desnutri«ı«úo Prot«∏ico-cal«¸rica N«úo Especificada
E50;Defici«¶ncia de Vitamina A
E51;Defici«¶ncia de Tiamina
E52;Defici«¶ncia de Niacina (pelagra)
E53;Defici«¶ncia de Outras Vitaminas do Grupo B
E54;Defici«¶ncia de «Åcido Asc«¸rbico
E55;Defici«¶ncia de Vitamina D
E56;Outras Defici«¶ncias Vitam«nicas
E58;Defici«¶ncia de C«≠lcio da Dieta
E59;Defici«¶ncia de Sel«¶nio da Dieta
E60;Defici«¶ncia de Zinco da Dieta
E61;Defici«¶ncia de Outros Elementos Nutrientes
E63;Outras Defici«¶ncias Nutricionais
E64;Seq«¨elas de Desnutri«ı«úo e de Outras Defici«¶ncias Nutricionais
E65;Adiposidade Localizada
E66;Obesidade
E67;Outras Formas de Hiperalimenta«ı«úo
E68;Seq«¨elas de Hiperalimenta«ı«úo
E70;Dist«ßrbios do Metabolismo de Amino«≠cidos Arom«≠ticos
E71;Dist«ßrbios do Metabolismo de Amino«≠cidos de Cadeia Ramificada e do Metabolismo Dos «Åcidos Graxos
E72;Outros Dist«ßrbios do Metabolismo de Amino«≠cidos
E73;Intoler«Ωncia «ˇ Lactose
E74;Outros Dist«ßrbios do Metabolismo de Carboidratos
E75;Dist«ßrbios do Metabolismo de Esfingol«pides e Outros Dist«ßrbios de Dep«¸sito de L«pides
E76;Dist«ßrbios do Metabolismo do Glicosaminoglicano
E77;Dist«ßrbios do Metabolismo de Glicoprote«nas
E78;Dist«ßrbios do Metabolismo de Lipoprote«nas e Outras Lipidemias
E79;Dist«ßrbios do Metabolismo de Purina e Pirimidina
E80;Dist«ßrbios do Metabolismo da Porfirina e da Bilirrubina
E83;Dist«ßrbios do Metabolismo de Minerais
E84;Fibrose C«stica
E85;Amiloidose
E86;Deple«ı«úo de Volume
E87;Outros Transtornos do Equil«brio Hidroeletrol«tico e «Åcido-b«≠sico
E88;Outros Dist«ßrbios Metab«¸licos
E89;Transtornos End«¸crinos e Metab«¸licos P«¸s-procedimentos, N«úo Classificados em Outra Parte
E90;Transtornos Nutricionais e Metab«¸licos em Doen«ıas Classificadas em Outra Parte
F00;Dem«¶ncia na Doen«ıa de Alzheimer
F01;Dem«¶ncia Vascular
F02;Dem«¶ncia em Outras Doen«ıas Classificadas em Outra Parte
F03;Dem«¶ncia N«úo Especificada
F04;S«ndrome Amn«∏sica Org«Ωnica N«úo Induzida Pelo «Ålcool ou Por Outras Subst«Ωncias Psicoativas
F05;Delirium N«úo Induzido Pelo «Ålcool ou Por Outras Subst«Ωncias Psicoativas
F06;Outros Transtornos Mentais Devidos a Les«úo e Disfun«ı«úo Cerebral e a Doen«ıa F«sica
F07;Transtornos de Personalidade e do Comportamento Devidos a Doen«ıa, a Les«úo e a Disfun«ı«úo Cerebral
F09;Transtorno Mental Org«Ωnico ou Sintom«≠tico N«úo Especificado
F10;Transtornos Mentais e Comportamentais Devidos ao Uso de «Ålcool
F11;Transtornos Mentais e Comportamentais Devidos ao Uso de Opi«≠ceos
F12;Transtornos Mentais e Comportamentais Devidos ao Uso de Canabin«¸ides
F13;Transtornos Mentais e Comportamentais Devidos ao Uso de Sedativos e Hipn«¸ticos
F14;Transtornos Mentais e Comportamentais Devidos ao Uso da Coca«na
F15;Transtornos Mentais e Comportamentais Devidos ao Uso de Outros Estimulantes, Inclusive a Cafe«na
F16;Transtornos Mentais e Comportamentais Devidos ao Uso de Alucin«¸genos
F17;Transtornos Mentais e Comportamentais Devidos ao Uso de Fumo
F18;Transtornos Mentais e Comportamentais Devidos ao Uso de Solventes Vol«≠teis
F19;Transtornos Mentais e Comportamentais Devidos ao Uso de M«ßltiplas Drogas e ao Uso de Outras Subst«Ωncias Psicoativas
F20;Esquizofrenia
F21;Transtorno Esquizot«pico
F22;Transtornos Delirantes Persistentes
F23;Transtornos Psic«¸ticos Agudos e Transit«¸rios
F24;Transtorno Delirante Induzido
F25;Transtornos Esquizoafetivos
F28;Outros Transtornos Psic«¸ticos N«úo-org«Ωnicos
F29;Psicose N«úo-org«Ωnica N«úo Especificada
F30;Epis«¸dio Man«aco
F31;Transtorno Afetivo Bipolar
F32;Epis«¸dios Depressivos
F33;Transtorno Depressivo Recorrente
F34;Transtornos de Humor (afetivos) Persistentes
F38;Outros Transtornos do Humor (afetivos)
F39;Transtorno do Humor (afetivo) N«úo Especificado
F40;Transtornos F«¸bico-ansiosos
F41;Outros Transtornos Ansiosos
F42;Transtorno Obsessivo-compulsivo
F43;"Rea«ı«Êes ao ""stress"" Grave e Transtornos de Adapta«ı«úo"
F44;Transtornos Dissociativos (de Convers«úo)
F45;Transtornos Somatoformes
F48;Outros Transtornos Neur«¸ticos
F50;Transtornos da Alimenta«ı«úo
F51;Transtornos N«úo-org«Ωnicos do Sono Devidos a Fatores Emocionais
F52;Disfun«ı«úo Sexual, N«úo Causada Por Transtorno ou Doen«ıa Org«Ωnica
F53;Transtornos Mentais e Comportamentais Associados ao Puerp«∏rio, N«úo Classificados em Outra Parte
F54;Fatores Psicol«¸gicos ou Comportamentais Associados a Doen«ıa ou a Transtornos Classificados em Outra Parte
F55;Abuso de Subst«Ωncias Que N«úo Produzem Depend«¶ncia
F59;S«ndromes Comportamentais Associados a Transtornos Das Fun«ı«Êes Fisiol«¸gicas e a Fatores F«sicos, N«úo Especificadas
F60;Transtornos Espec«ficos da Personalidade
F61;Transtornos Mistos da Personalidade e Outros Transtornos da Personalidade
F62;Modifica«ı«Êes Duradouras da Personalidade N«úo Atribu«veis a Les«úo ou Doen«ıa Cerebral
F63;Transtornos Dos H«≠bitos e Dos Impulsos
F64;Transtornos da Identidade Sexual
F65;Transtornos da Prefer«¶ncia Sexual
F66;Transtornos Psicol«¸gicos e Comportamentais Associados ao Desenvolvimento Sexual e «ˇ Sua Orienta«ı«úo
F68;Outros Transtornos da Personalidade e do Comportamento do Adulto
F69;Transtorno da Personalidade e do Comportamento do Adulto, N«úo Especificado
F70;Retardo Mental Leve
F71;Retardo Mental Moderado
F72;Retardo Mental Grave
F73;Retardo Mental Profundo
F78;Outro Retardo Mental
F79;Retardo Mental N«úo Especificado
F80;Transtornos Espec«ficos do Desenvolvimento da Fala e da Linguagem
F81;Transtornos Espec«ficos do Desenvolvimento Das Habilidades Escolares
F82;Transtorno Espec«fico do Desenvolvimento Motor
F83;Transtornos Espec«ficos Misto do Desenvolvimento
F84;Transtornos Globais do Desenvolvimento
F88;Outros Transtornos do Desenvolvimento Psicol«¸gico
F89;Transtorno do Desenvolvimento Psicol«¸gico N«úo Especificado
F90;Transtornos Hipercin«∏ticos
F91;Dist«ßrbios de Conduta
F92;Transtornos Mistos de Conduta e Das Emo«ı«Êes
F93;Transtornos Emocionais Com In«cio Especificamente na Inf«Ωncia
F94;Transtornos do Funcionamento Social Com In«cio Especificamente Durante a Inf«Ωncia ou a Adolesc«¶ncia
F95;Tiques
F98;Outros Transtornos Comportamentais e Emocionais Com In«cio Habitualmente Durante a Inf«Ωncia ou a Adolesc«¶ncia
F99;Transtorno Mental N«úo Especificado em Outra Parte
G00;Meningite Bacteriana N«úo Classificada em Outra Parte
G01;Meningite em Doen«ıas Bacterianas Classificadas em Outra Parte
G02;Meningite em Outras Doen«ıas Infecciosas e Parasit«≠rias Classificadas em Outra Parte
